data,loja,regiao,produto,categoria,quantidade,preco_unitario
2024-01-01 00:00:00.000000,Loja Sul,Sul,Tênis,Calçados,14.0,168.36
2024-01-01 21:57:17.593984,Loja Shopping,Centro,Jaqueta,Vestuário,9.0,218.02
2024-01-02 19:54:35.187969,Loja Centro,Centro,Camiseta,Vestuário,12.0,234.98
2024-01-03 17:51:52.781954,Loja Sul,Sul,Tênis,Calçados,1.0,44.44
2024-01-04 15:49:10.375939,Loja Sul,Sul,Mochila,Acessórios,9.0,161.71
2024-01-05 13:46:27.969924,Loja Shopping,Centro,Tênis,Calçados,8.0,280.96
2024-01-06 11:43:45.563909,Loja Centro,Centro,Mochila,Acessórios,1.0,109.78
2024-01-07 09:41:03.157894,Loja Centro,Centro,Jaqueta,Vestuário,6.0,186.29
2024-01-08 07:38:20.751879,Loja Sul,Sul,Mochila,Acessórios,5.0,123.38
2024-01-09 05:35:38.345864,Loja Norte,Norte,Camiseta,Vestuário,6.0,147.2
2024-01-10 03:32:55.939849,Loja Sul,Sul,Jaqueta,Vestuário,10.0,173.61
2024-01-11 01:30:13.533834,Loja Sul,Sul,Camiseta,Vestuário,12.0,173.7
2024-01-11 23:27:31.127819,Loja Sul,Sul,Boné,Acessórios,13.0,76.48
2024-01-12 21:24:48.721804,Loja Sul,Sul,Calça Jeans,Vestuário,13.0,211.68
2024-01-13 19:22:06.315789,Loja Shopping,Centro,Mochila,Acessórios,13.0,44.6
2024-01-14 17:19:23.909774,Loja Centro,Centro,Calça Jeans,Vestuário,5.0,58.87
2024-01-15 15:16:41.503759,Loja Shopping,Centro,Calça Jeans,Vestuário,6.0,20.76
2024-01-16 13:13:59.097744,Loja Shopping,Centro,Mochila,Acessórios,5.0,52.67
2024-01-17 11:11:16.691729,Loja Shopping,Centro,Jaqueta,Vestuário,11.0,152.49
2024-01-18 09:08:34.285714,Loja Sul,Sul,Boné,Acessórios,12.0,189.71
2024-01-19 07:05:51.879699,Loja Norte,Norte,Camiseta,Vestuário,5.0,242.4
2024-01-20 05:03:09.473684,Loja Centro,Centro,Tênis,Calçados,4.0,49.88
2024-01-21 03:00:27.067669,Loja Norte,Norte,Camiseta,Vestuário,3.0,258.2
2024-01-22 00:57:44.661654,Loja Shopping,Centro,Tênis,Calçados,3.0,228.87
2024-01-22 22:55:02.255639,Loja Shopping,Centro,Camiseta,Vestuário,4.0,134.39
2024-01-23 20:52:19.849624,Loja Norte,Norte,Mochila,Acessórios,9.0,281.22
